SUPPLY_ID,LATITUDE,LONGITUDE
580,39.074208,21.824312
792,39.6430541,22.4470275
1829,40.6267912,22.4406242
1403,37.9366072,23.731093
486,40.4235811,22.9571629
1251,37.9514647,23.7284684
642,37.5184561,23.4545299
907,38.5272911,22.3782856
1245,37.9354635,23.7280559
1880,37.8282075,20.7480064
169,38.0281846,23.7184029
1290,37.9129729,23.7662578
393,40.9181761,22.8747643
709,37.0802026,22.166867
287,38.030062,23.7082108
1553,38.0078815,23.7904125
1584,38.0722918,23.5113752
972,36.3931562,25.4615092
137,38.0034352,23.727173
1610,38.0325332,23.8356334
1194,37.9534151,23.6595153
1778,40.77799359999999,24.2112073
211,38.0146322,23.7053501
358,40.6670356,22.9104918
155,38.0296284,23.6949815
1924,38.89408299999999,20.9268201
1556,38.0602,23.7920834
1777,40.77799359999999,24.2112073
744,39.367557,22.9463704
1962,39.7627551,19.8186982
1242,37.8165125,23.7722077
1289,37.9120426,23.7098513
1919,39.086023,20.7003268
429,39.074208,21.824312
1233,37.9120426,23.7098513
1981,39.7627551,19.8186982
1160,37.9722528,23.6463577
1787,41.126455,24.1181856
1699,38.0037789,23.8780592
1094,37.9552658,23.7220834
142,38.0006895,23.7462833
1111,37.9567449,23.6312718
804,39.553502,21.7680759
1430,38.0933352,23.8152429
57,37.9747136,23.7164323
1605,37.9884942,23.7565863
1031,35.337249,25.1333357
1632,38.0673903,23.7813182
1395,37.9120426,23.7098513
973,37.4524759,25.3987988
1497,38.0330559,23.7498118
477,40.4805336,22.8546753
1771,40.9593927,24.4884353
1844,40.5057349,22.5426124
6,38.0054558,23.6915065
1840,40.26291,22.5414037
897,38.4554672,22.8825938
1868,40.8048828,21.5278364
289,38.0378644,23.6871983
655,37.4813502,22.4376627
1324,37.9534151,23.6595153
304,38.1081993,23.7194555
1419,37.9229501,23.7268068
815,39.6050203,22.070202
1425,38.020741,23.7959223
1336,37.96452,23.5679726
1946,39.6684968,20.8530123
1058,35.2562394,25.6065459
375,40.6787526,22.6037187
672,37.6724114,21.3554414
1741,39.074208,21.824312
